PK_TEMPO;data;dia;mes;ano;trimestre
534ea1d956efba6068151cdcc993968883e39dc7d5544ada2e3b3d8c5aecba35;2017-11-30;30;11;2017;4
dbcbef7b4119d591524adf9cb9642f68bd07bb6d311e5bcdc7f5aa76e2f76b44;2017-04-02;2;4;2017;2
35aaf4cf74d71fa2794b2d15e609373a00643785b6cbc2e4b169ac486872d0f8;2017-09-20;20;9;2017;3
55c371a6f79dda9e6c1f28c253ad293cc865f8b98647451030e23d85d0c8ac79;2017-05-21;21;5;2017;2
de6eb95324e5b9b4d597652f5b1a42ab56299b02e146f0fe2d1eedcd486fd5cc;2017-06-09;9;6;2017;2
7678a2b33ddf281c3c0dd63f093a6e18556d28113d4de0a87dd2f44d58f8e367;2019-03-11;11;3;2019;1
a8e8e0688790e001d341682c8a9f0d98e37273de37476795475e3c1e62e70b50;2018-07-25;25;7;2018;3
0af0c33fc70df4f5e222ed17da74dfa4f0b9c6b3cfa1bf5d236c4f43bea7f9af;2018-09-30;30;9;2018;3
dba45770a0fca29411bebd068f580a2414a31e7909ce0e4c73e34b9ac17708bc;2018-08-29;29;8;2018;3
c184706641a3ccfad92788e04775536695f5d4c6637f4bf7402d1fa4bafaafff;2017-10-20;20;10;2017;4
bb6649507a8ba70fc3f727bc23cea8ca0d60b516315ed1c4df9ad9255320efa8;2019-02-05;5;2;2019;1
98ade595228007a54bb276c9ee20b5398872c0739967d710731895824798dd43;2018-10-10;10;10;2018;4
bcaf5acb83fe4b3c20d99afd954dc2ce05dde98fb9cde84c004d7090b5663745;2017-12-01;1;12;2017;4
f7f09c2154eaba7c2c8ec06ad29e25c7005fc1db0f0c4cfa430c5712d6bbeb5f;2017-09-06;6;9;2017;3
7b443dd1d9ed0060c3c76c9bfa91f8c4da645c437d25ce509626e88c7c658459;2017-02-18;18;2;2017;1
02b788a346847a39631854cd10b836d5df518491d5a03f99a6efb74d47162085;2017-04-06;6;4;2017;2
1f7121d37709ae3250c8cb08d39e69f1a1533e891f7afe721f42d3dd66fa516a;2018-05-28;28;5;2018;2
eb603f298f80c660a3982e679689246bd8d1790f0e6400deeb69f419524cc739;2017-07-26;26;7;2017;3
cf489b557c0860830c709e98116b1a60fa7b3e5e6245c7ccf6583080199f2b78;2017-03-01;1;3;2017;1
21b489b6ff6d6732a2f130e71d7b1570a0f7a00871419ca2e105851fe04a5b68;2017-05-26;26;5;2017;2
e330eb8596c792fb3dac536d48a49da22730baa0160bb9530904d2d185fc3f80;2018-06-13;13;6;2018;2
2f3730b94bb53db894a864933341f6edec127a57c9f9552a73f2d97310c69c8d;2017-10-07;7;10;2017;4
ee9e3adfc2c25fd7b135ae40a2367bd790676f9a7c1a8e281661aa874ea2f0e6;2017-10-29;29;10;2017;4
3c549ebd117aa57707af4ce8cf2dd13eb2812891813ccb329f2166755a22b72e;2017-12-16;16;12;2017;4
a77d8e0dd5f9faf5b7a6cd83e7b84217edf48ae7987f8bc2132309e5156e4002;2019-01-28;28;1;2019;1
